Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0069,Yes,,Multiple,2012,2012,,Multiple,,Estuarine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,One,,We suggest that the size/age dependence of the PFAS concentration could be related to differing uptake kinetics of the chemicals as a response to an increased level of these substances in the environment after a major flood event,CV,
P_0074,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0089,No,,One,,,,,,,,,,,,,,,,,,Excluded,Excluded,
P_0101,Yes,,Multiple,2012,2012,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,Multiple,,Fish livers were better indicators of PFAS than muscle,CV,
P_0102,No,,Multiple,2014,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0106,Yes,,Multiple,2009,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Mixed,,Multiple,,Fish livers were better indicators of PFAS than muscle,CV,
P_0107,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0108,No,,Multiple,2018,2019,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,Multiple,,Maternal transfer,CV,
P_0110,Yes,,Multiple,2009,2009,,One,,Freshwater,,Male,,Juvenile/adult,,Yes,,Temperate,,Multiple,,"Largemouth bass with high PFAS concentrations exhibited changes in the expression of genes related to lipid metabolism, energy production, RNA processing, protein production/degradation and contaminant detoxification, all of which are consistent with biomarker responses observed in other studies with PFASs",CV,
P_0111,No,,Multiple,2010,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0113,No,,Multiple,2011,2012,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Temperate,,One,,Thyroid endocrine status and correlation to POPs burdens,CV,
P_0114,No,,Multiple,2011,2012,,One,,Freshwater,,Female,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0198,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Unknown,,Unknown,,No,,Temperate,,One,,Excluded,Excluded!,
P_0201,Yes,,Multiple,2012,2012,,Multiple,,Estuarine,,Unknown,,Juvenile/Adult,,Yes,"bioaccumulation factor for all PFAAs ranged from 2.0 to 2,8, there was no positive correlation between PFAA carbon chain length",Subtropical,,One,,,CV,
P_0204,Yes,,Multiple,2009,2010,,Multiple,,Mixed,,Mixed,,Juvenile/Adult,,Yes,fish weight correlated poorly with total PFAA concentration --> inverse correlation between the PFAA concentration and fresh weight in the whitefish but no observations with the other fish species (this shows that the correlation is species-specific),Temperate,,Multiple,,,CV,
P_0206,Yes,,Multiple,2008,2008,,One,,Freshwater,,Unknown,,Juvenile/Adult,,Yes,bioaccumulation,Temperate,,One,,Bioaccumulation not explicitly mentioned but perhaps implied,CV,
P_0207,Yes,,Multiple,2012,2012,,Multiple,,Marine,,Unknown,,Juvenile/Adult,,Yes,bioaccumulation,Polar,,Multiple,,Bioaccumulation not explicitly mentioned but perhaps implied,CV,
P_0351,Yes,,Multiple,2000,2001,,One,,Freshwater,,Unknown,,Juvenile/Adult,,Yes,Bioaccumulation,Temperate,,One,,,CV,
P_0060,Yes,,Multiple,2010,2014,,One,,Freshwater,,Unknown,,Juvenile/Adult,,Yes,"Correlation of PFAS burden and fish size, age and trophic position investigated",Temperate,,One,,,CV,
P_0150,Yes,,Multiple,1997,2008,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0151,Yes,,Multiple,2012,2012,,One,,Mixed,Estuarine and freshwater,Female,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0165,Yes,,Multiple,Unknown,Unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0163,Yes,,Multiple,2008,2010,,One,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0167,No,,One,1999,2001,,One,,Freshwater,,Female,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0169,Yes,,Multiple,1997,1999,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0172,No,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0173,No,,One,2002,2002,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0174,Yes,,One,2001,2001,,Multiple,,Mixed,Estuarine and marine,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0178,Yes,,Multiple,2011,2011,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Correlation between gene expression and PFAS burden,Temperate,,Multiple,,,CV,
P_0179,No,,Multiple,2012,2012,,One,,freshwater,,Mixed,,Juvenile/adult,,Yes,Gene-environment interactions noted. increased exposure to PFOS has increased ACOX transcription in fish,Temperate,,Multiple,,,CV,
P_0181,No,,Multiple,2008,2009,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0188,Yes,,Multiple,2010,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"bioaccumulation, PFC concentrations weakly associated with carcass mass",Temperate,,Multiple,compared mean PFAS concentrations between fillets vs whole fish,,CV,
P_0190,Yes,,Multiple,2014,2016,,Multiple,,Mixed,Marine and Freshwater,Mixed,,Juvenile/adult,,Yes,Species specific mechanisms for PFAS (for accumulation of PFOA),Mixed,,One,,,CV,
P_0213,Yes,,Multiple,2010,2010,,One,Not sure as they mention that other species with lower PFC loads were used for validation,Freshwater,,Mixed,,Juvenile/adult,,Yes,Asoprtion and bioaccumulation were influenced by PFC structure + PFC had higher binding affinity for plasma proteins hence higher levels of PFAS in blood and liver,Temperate,,Multiple,,,CV,
P_0215,Yes,,Multiple,2010,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Bioaccumulation factor, Relationship between blood:liver PFOS ratio and sexual maturity of mandarin fish, sex specific differences for PFNA in mandarin carp, species specific compound specific and tissue specific bioaccumulation",Temperate,,Multiple,,,CV,
P_0217,Yes,,Multiple,2013,2013,,Multiple,,Unknown,paper says local wet markets in Singapore,Unknown,,Juvenile/adult,,No,,Tropical,,One,,Excluded,Excluded,
P_0221,Yes,,Multiple,2017,2018,,Multiple,,Estuary,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation factors were calculated,Temperate,,One,,,CV,
P_0225,No,,Multiple,2010,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Investigated relationships between physical characteristics and contaminant concentrations,Subtropical,,One,,,CV,
P_0230,Excluded,,,,,,,,,,,,,,,,,,,,Excluded,Excluded,
P_0233,No,,Multiple,2016,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0238,No,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0240,No,,Multiple,2008,2009,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0245,No,,Multiple,2013,2014,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Tissue-specific bioaccumulation,Tropical,,Multiple,,,CV,
P_0246,Excluded,,,,,,,,,,,,,,,,,,,,Excluded,Excluded,
P_0247,Yes,,Multiple,1998,2007,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,Multiple,,,CV,
P_0252,Yes,,Multiple,2009,2013,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0257,Yes,,Multiple,2011,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0258,Yes,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0259,Yes,,Multiple,2008,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0261,Yes,,Multiple,2003,2003,,One,,Freshwater,,Female,,Mixed,,Yes,Maternal transfer of PFAS to eggs,Subtropical,,Multiple,,,CV,
P_0264,Yes,,Multiple,2015,2016,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,bioaccumulaton & biomagnification,Subtropical,,Multiple,,,CV,
P_0265,Yes,,Multiple,2005,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0267,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0283,Yes,,Multiple,2004,2004,,Multiple,,Marine,,Mixed,,Mixed,,No,,Polar,,Multiple,,,CV,
P_0284,No,,Multiple,2012,2012,,One,,Marine,,Mixed,,Mixed,,Yes,Maternal transfer,Temperate,,Multiple,,,CV,
P_0285,Yes,,Multiple,2005,2008,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0286,Yes,,Multiple,1981,2013,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0049,Yes,,Multiple,2014,2014,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0292,Yes,,Multiple,2006,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0297,Yes,,Multiple,Unknown,Unknown,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0304,No,title mentions other halogenated compounds,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0056,Yes,,Multiple,2015,2015,,Multiple,,Estuary,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0054,Yes,,Multiple,2018,2018,,One,,Estuary,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0312,No,,Multiple,2017,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0315,Yes,,Multiple,2015,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0320,Yes,,Multiple,2002,2009,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0326,Yes,,Multiple,2008,2008,,Multiple,Fish: one,Estuary,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0331,No,,Multiple,2010,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0337,Yes,,Multiple,1998,2005,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0342,Yes,,Multiple,2015,2016,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0343,Yes,,Multiple,2017,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0345,No,,Multiple,2018,2018,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0346,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,Excluded,"Excluded, Exposure experiment",
P_0084,Yes,,Multiple,2000,2001,,Multiple,Fish: One,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,One,,,CV,
P_0057,Yes,,Multiple,2011,2011,,Multiple,Fish: One,Mixed,Fish: Freshwater,Unknown,,Juvenile/adult,,No,,Mixed,Fish: temperate,Multiple,,,CV,
P_0194,Yes,,Multiple,1979,1999,,Multiple,,Mixed,Fish: Marine,Mixed,,Juvenile/adult,,No,,Mixed,,Multiple,,,CV,
P_0289,Yes,,Multiple,2006,2009,,Multiple,,Mixed,Fish: Estuary,Unknown,,Mixed,Fish: Juvenile/adult,Yes,bioaccumulation,Subtropical,,Multiple,Fish: One,,CV,
P_0103,Yes,,One,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,Fish: One,,CV,
P_0058,Yes,,Multiple,1966,2014,Fish: 1980-2014,Multiple,Fish: One,Mixed,Fish: Marine,Mixed,Fish: Females,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,Fish: One,,CV,
P_0138,Yes,,Multiple,2017,2020,,Multiple,,Mixed,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,,,CV,
P_0228,Yes,,Multiple,2010,2010,,Multiple,Fish: one,Mixed,Fish: Estuary,Unknown,,Juvenile/adult,,Yes,bioaccumulation,polar,,Multiple,,,CV,
P_0255,Yes,,Multiple,2003,2003,,Multiple,Fish: one,Mixed,Fish: Marine,Unknown,,Juvenile/adult,,No,,Tropical,,Multiple,Fish: One,,CV,
P_0295,Yes,,Multiple,1994,2003,Fish: 2001-2003,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0083,Yes,,Multiple,2011,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0127,Yes,,Multiple,2003,2003,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0146,Yes,,Multiple,2013,2014,Fish: 2013,Multiple,,Marine,,Unknown,,Mixed,Fish: Juvenile/adult,Yes,bioaccumulation,Temperate,,Multiple,Fish: one,,CV,
P_0170,Yes,,Multiple,2004,2004,,Multiple,Fish: one,Marine,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,,CV,
P_0182,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Subtropical,,Multiple,Fish: one,Excluded,"Catfish bought at local markets, unlcear were they were caught.",
P_0192,Yes,,Multiple,1998,2001,Fish: 1998-2000,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0229,Yes,,Multiple,2003,2010,Fish: 2008-2010,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,Fish: one,,CV,
P_0268,Yes,,Multiple,1994,2009,,Multiple,,Mixed,Fish: freshwater,Unknown,,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,Fish: one,,CV,
P_0313,Yes,,Multiple,2007,2009,Fish: 2007,Multiple,Fish: one,Estuary,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Subtropica;,,Multiple,,,CV,
P_0336,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0344,Yes,,Multiple,2006,2006,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation and trophic transfer,Subtropical,,Multiple,,,CV,
P_0266,Yes,,Multiple,2004,2004,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,Fish: one,,CV,
P_0353,No,,Multiple,2004,2007,Fish: 2004-2005,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0177,Yes,,Multiple,2002,2004,Fish: 2002-2003,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0314,Yes,,Multiple,1996,2002,Fish: 2000-2001,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0350,Yes,,Multiple,2011,2012,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0354,Yes,,Multiple,2010,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0085,Yes,,Multiple,Unknown,Unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0099,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0128,Yes,,Multiple,2012,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,maternal transfer,Subtropical,,Multiple,,,CV,
P_0131,No,,Multiple,1994,2017,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0162,,,,,,,,,,,,,,,,,,,,,Excluded,"Not available online, Losia sent request to Yefeng to get paper and translate","Not available online, Losia sent request to Yefeng to get paper and translate"
P_0166,Yes,,Multiple,2017,2017,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0176,Yes,,Multiple,2008,2009,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,One,,,CV,
P_0199,No,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0216,Yes,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,,CV,
P_0222,Yes,,Multiple,2010,2011,,Multiple,Fish: one,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0226,,,,,,,,,,,,,,,,,,,,,Excluded,fish purchased from local supermarket - unclear where supermarket got it from,
P_0227,Yes,,Multiple,Unknown,Unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0249,Yes,,Multiple,2008,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,One,,,CV,
P_0250,Yes,,Multiple,1999,2004,Fish: 2000-2003,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,Fish: one,,CV,
P_0272,No,,Multiple,Beginning of 1980s,Unknown,,Multiple,,Mixed,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Polar,,Multiple,,,CV,
P_0290,Yes,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0293,Yes,,Multiple,2013,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0294,Yes,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0309,Yes,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,Fish: one,,CV,
P_0321,No,,Multiple,2012,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,Fish: one,,CV,
P_0327,,,,,,,,,,,,,,,,,,,,,Excluded,"Full text in chinese, Losia sent request to Yefeng to get paper and translate",
P_0333,Yes,,Multiple,2018,2018,,Multiple,Fish: one,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0335,Yes,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0338,,,,,,,,,,,,,,,,,,,,,Excluded,"fish purchased at supermarkets, unclear were they were caught",
P_0340,Yes,,Multiple,2009,2013,Fish: 2010-2013,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Mixed,,Multiple,,,CV,
P_0341,Yes,,Multiple,2010,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0347,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
P_0072,No,,Multiple,2010,2011,,Multiple,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,Bioaccumulation,Temperate,,One,,,CV,
P_0075,Yes,,Multiple,1970,2006,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0078,Yes,,One,2009,2009,,Multiple,,Mixed,,Unknown,,Mixed,,No,"Maternal transfer, bioaccumulation",Subtropical,,Multiple,,,CV,
P_0079,Yes,,Multiple,2012,2014,,One,,Terrestrial Coastal,,Mixed,,Juvenile/adult,,Yes,Correlation between PFAS conc and body condition and telomere length,Polar,,One,,,CV,
P_0080,No,,Multiple,2015,2015,,One,,Terrestrial Coastal,,Mixed,,Juvenile/adult,,Yes,Correlation between PFAS conc in blood and incubation temperature/plasma prolactin levels/broodpatch size,Polar,,One,,,CV,
P_0088,No,,Multiple,2011,2012,,Multiple,,Terrestrial Coastal,,Unknown,,Eggs/early development,,No,,Subtropical,,One,,,CV,
P_0090,No,,Multiple,2007,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Biomagnification,Polar,,One,,,CV,
P_0091,No,,Multiple,2007,2008,,Multiple,,Terrestrial Coastal,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0092,Yes,,Multiple,1975,2011,,Multiple,,Terrestrial Coastal,,Unknown,,Eggs/early development,,No,,Polar,,One,,,CV,
P_0093,No,,Multiple,2003,2003,,One,,Terrestrial Coastal,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0094,No,,One,2008,2010,,Multiple,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,Association of PFAS and growth rate/dietary tracers,Polar,,One,,,CV,
P_0095,No,,multiple,2005,2005,,One,,Terrestrial Coastal,,Mixed,,juvenile/adult,,Yes,Association of PFAS and early chick survival and adult return rate,Polar,,One,,,CV,
P_0096,No,,multiple,2007,2007,,Multiple,,Marine,,Mixed,,juvenile/adult,,No,,Mixed,,One,,,CV,
